FeedCreatedDateTime	PrintPriceLastModifiedDateTime	Currency	PrintCode	PrintTechnique	MOQPrintOrder	SetupNet	PrintSampleNet	SmallOrderChargeNet	NrOfColors	FullColor	VariableDataPrinting	PrintArea	PrintAreaFromCM2	PrintAreaToCM2	PrintPriceNet_1	PrintPriceNet_50	PrintPriceNet_100	PrintPriceNet_250	PrintPriceNet_500	PrintPriceNet_1000	PrintPriceNet_2500	PrintPriceNet_5000	PrintPriceNet_10000	PrintPriceGross_1	PrintPriceGross_50	PrintPriceGross_100	PrintPriceGross_250	PrintPriceGross_500	PrintPriceGross_1000	PrintPriceGross_2500	PrintPriceGross_5000	PrintPriceGross_10000
2023-07-31T11:17:24	2022-10-25T14:42:22	EUR	CO2 Engraving 1	CO2 gravering	1	25.00	25.00	0.00		True	True				1.19	0.53	0.47	0.39	0.36	0.31	0.28	0.26	0.23	2.09	0.93	0.82	0.68	0.63	0.54	0.49	0.46	0.40
2023-07-31T11:17:24	2022-10-25T14:42:22	EUR	CO2 Engraving 2	CO2 gravering	1	25.00	25.00	0.00			True				1.42	0.79	0.62	0.56	0.48	0.45	0.41	0.37	0.34	2.49	1.39	1.09	0.98	0.84	0.79	0.72	0.65	0.60
2023-07-31T11:17:24	2022-10-25T14:42:22	EUR	CO2 Engraving 3	CO2 gravering	1	25.00	25.00	0.00			True				1.64	1.03	0.76	0.67	0.61	0.57	0.55	0.48	0.44	2.88	1.81	1.33	1.18	1.07	1.00	0.96	0.84	0.77
2023-07-31T11:17:24	2022-10-25T15:04:43	EUR	Custom Card B	Custom Card	1	0		0		True	True				0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
2023-07-31T11:17:24	2022-10-25T14:42:22	EUR	Digital Print 1	Digitale print	1	37.00	37.00	0.00		True	True				1.42	0.61	0.47	0.35	0.33	0.28	0.24	0.22	0.21	2.49	1.07	0.82	0.61	0.58	0.49	0.42	0.39	0.37
2023-07-31T11:17:24	2022-10-25T14:42:22	EUR	Digital Print 2	Digitale print	1	37.00	37.00	0.00		True	True				2.19	1.16	0.64	0.50	0.43	0.37	0.35	0.33	0.31	3.84	2.04	1.12	0.88	0.75	0.65	0.61	0.58	0.54
2023-07-31T11:17:24	2022-10-25T14:42:23	EUR	Digital Print 3	Digitale print	1	37.00	37.00	0.00		True	True				2.35	1.33	1.16	1.06	0.95	0.85	0.79	0.75	0.73	4.12	2.33	2.04	1.86	1.67	1.49	1.39	1.32	1.28
2023-07-31T11:17:24	2022-10-25T14:42:23	EUR	Digital round 360-1	Digitaaldruk rondom	1	37.00	37.00	0.00		True	True				2.79	2.09	1.76	1.43	1.10	1.05	0.99	0.94	0.88	4.89	3.67	3.09	2.51	1.93	1.84	1.74	1.65	1.54
2023-07-31T11:17:24	2022-10-25T14:42:23	EUR	Digital round 360-2	Digitaaldruk rondom	1	37.00	37.00	0.00		True	True				3.12	2.42	2.04	1.71	1.38	1.32	1.27	1.21	1.16	5.47	4.25	3.58	3.00	2.42	2.32	2.23	2.12	2.04
2023-07-31T11:17:24	2022-10-25T14:42:23	EUR	Digital Transfer OS	Digitaal transfer	1	0	37.00	0		True	True				2.92	2.48	1.97	1.67	1.21	1.10	1.05	0.98	0.96	5.12	4.35	3.46	2.93	2.12	1.93	1.84	1.72	1.68
2023-07-31T11:17:24	2022-10-25T14:42:22	EUR	Doming	Doming	1	37.00	37.00	0.00		True	True				1.40	0.79	0.62	0.52	0.50	0.40	0.35	0.32	0.29	2.46	1.39	1.09	0.91	0.88	0.70	0.61	0.56	0.51
2023-07-31T11:17:24	2022-10-25T14:42:23	EUR	Doming special	Doming	1	37.00	37.00	0.00		True	True				1.16	0.50	0.37	0.32	0.28	0.28	0.25	0.25	0.25	2.04	0.88	0.65	0.56	0.49	0.49	0.44	0.44	0.44
2023-07-31T11:17:24	2022-10-25T14:42:23	EUR	Embroidery	Borduring	1	47.00	47.00	0			True	0 - 25 cm2	0	25	3.41	2.42	1.93	1.68	1.52	1.27	1.27	1.27	1.27	5.98	4.25	3.39	2.95	2.67	2.23	2.23	2.23	2.23
2023-07-31T11:17:24	2022-10-25T14:42:23	EUR	Embroidery	Borduring	1	47.00	47.00	0			True	25 - 60 cm2	25	60	4.02	3.14	2.48	2.15	1.98	1.76	1.76	1.76	1.76	7.05	5.51	4.35	3.77	3.47	3.09	3.09	3.09	3.09
