FeedCreatedDateTime	ItemPriceLastModifiedDateTime	Currency	ModelCode	ItemCode	ItemName	NonStandardDiscount	Outlet	AllPrintCodes	MOQBlankOrder	Qty1	Qty2	Qty3	Qty4	Qty5	Qty6	ItemPriceNet_Qty1	ItemPriceNet_Qty2	ItemPriceNet_Qty3	ItemPriceNet_Qty4	ItemPriceNet_Qty5	ItemPriceNet_Qty6	ItemPriceGross_Qty1	ItemPriceGross_Qty2	ItemPriceGross_Qty3	ItemPriceGross_Qty4	ItemPriceGross_Qty5	ItemPriceGross_Qty6	AdditionalCostDesc	AdditionalCost
2023-09-18T11:27:09	2023-03-24T10:13:08	EUR	P453.30	P453.467	Impact AWARE™ 6 panel 280gr gerecycled katoenen cap, verdigris			Embroidery,Digital Transfer OS,Screen Transfer OS,Leather badge,Printed badge,Embroidery 3D	1	1	250	500	1000	2500	5000	2.51	2.44	2.37	2.31	2.26	2.22	4.40	4.28	4.16	4.05	3.97	3.89		
2023-09-18T11:27:09	2023-03-24T10:13:08	EUR	P453.30	P453.468	Impact AWARE™ 6 panel 280gr gerecycled katoenen cap, oranje			Embroidery,Digital Transfer OS,Screen Transfer OS,Leather badge,Printed badge,Embroidery 3D	1	1	250	500	1000	2500	5000	2.51	2.44	2.37	2.31	2.26	2.22	4.40	4.28	4.16	4.05	3.97	3.89		
2023-09-18T11:27:09	2023-08-18T14:41:36	EUR	P453.31	P453.470	Impact AWARE™ 5 panel 280gr recycled katoenen cap, lavender			Screen Transfer OS,Digital Transfer OS,Embroidery 3D,Leather badge,Printed badge,Embroidery	1	1	250	500	1000	2500	5000	2.42	2.35	2.29	2.22	2.18	2.14	4.24	4.13	4.01	3.90	3.83	3.75		
2023-09-18T11:27:09	2023-08-18T14:41:36	EUR	P453.31	P453.474	Impact AWARE™ 5 panel 280gr recycled katoenen cap, rood			Screen Transfer OS,Digital Transfer OS,Embroidery 3D,Leather badge,Printed badge,Embroidery	1	1	250	500	1000	2500	5000	2.42	2.35	2.29	2.22	2.18	2.14	4.24	4.13	4.01	3.90	3.83	3.75		
2023-09-18T11:27:09	2023-08-18T14:41:36	EUR	P453.31	P453.475	Impact AWARE™ 5 panel 280gr recycled katoenen cap, blauw			Screen Transfer OS,Digital Transfer OS,Embroidery 3D,Leather badge,Printed badge,Embroidery	1	1	250	500	1000	2500	5000	2.42	2.35	2.29	2.22	2.18	2.14	4.24	4.13	4.01	3.90	3.83	3.75		
2023-09-18T11:27:09	2023-08-18T14:41:37	EUR	P453.31	P453.477	Impact AWARE™ 5 panel 280gr recycled katoenen cap, verdigris			Screen Transfer OS,Digital Transfer OS,Embroidery 3D,Leather badge,Printed badge,Embroidery	1	1	250	500	1000	2500	5000	2.42	2.35	2.29	2.22	2.18	2.14	4.24	4.13	4.01	3.90	3.83	3.75		
2023-09-18T11:27:09	2023-08-18T14:41:37	EUR	P453.31	P453.478	Impact AWARE™ 5 panel 280gr recycled katoenen cap, oranje			Screen Transfer OS,Digital Transfer OS,Embroidery 3D,Leather badge,Printed badge,Embroidery	1	1	250	500	1000	2500	5000	2.42	2.35	2.29	2.22	2.18	2.14	4.24	4.13	4.01	3.90	3.83	3.75		
2023-09-18T11:27:09	2023-08-18T14:41:43	EUR	P453.34	P453.480	Impact AWARE™ Polylana® beanie, lavender			Embroidery,Printed badge,Leather badge	1	1	250	500	1000	2500	5000	2.42	2.35	2.29	2.22	2.18	2.14	4.24	4.13	4.01	3.90	3.83	3.75		
2023-09-18T11:27:09	2023-08-18T14:41:43	EUR	P453.34	P453.484	Impact AWARE™ Polylana® beanie, rood			Embroidery,Printed badge,Leather badge	1	1	250	500	1000	2500	5000	2.42	2.35	2.29	2.22	2.18	2.14	4.24	4.13	4.01	3.90	3.83	3.75		
2023-09-18T11:27:09	2023-08-18T14:41:43	EUR	P453.34	P453.485	Impact AWARE™ Polylana® beanie, blauw			Embroidery,Printed badge,Leather badge	1	1	250	500	1000	2500	5000	2.42	2.35	2.29	2.22	2.18	2.14	4.24	4.13	4.01	3.90	3.83	3.75		
2023-09-18T11:27:09	2023-08-18T14:41:44	EUR	P453.34	P453.487	Impact AWARE™ Polylana® beanie, verdigris			Embroidery,Printed badge,Leather badge	1	1	250	500	1000	2500	5000	2.42	2.35	2.29	2.22	2.18	2.14	4.24	4.13	4.01	3.90	3.83	3.75		
2023-09-18T11:27:09	2023-08-18T14:41:44	EUR	P453.34	P453.488	Impact AWARE™ Polylana® beanie, oranje			Embroidery,Printed badge,Leather badge	1	1	250	500	1000	2500	5000	2.42	2.35	2.29	2.22	2.18	2.14	4.24	4.13	4.01	3.90	3.83	3.75		
2023-09-18T11:27:09	2022-09-29T12:31:44	EUR	P453.50	P453.509	Houten frescobol tennis set, bruin			Screen Transfer OS,Digital Transfer OS,CO2 Engraving 2,Pad Print	1	1	25	50	100	250	500	25.74	25.05	24.37	23.68	23.23	22.77	45.15	43.95	42.75	41.55	40.75	39.95		
2023-09-18T11:27:09	2022-10-24T15:16:03	EUR	P453.51	P453.519	Houten kubb set, bruin			Screen Transfer OS,CO2 Engraving 2,Digital Transfer OS,SilkScreen	1	1	25	50	100	250	500	14.14	13.77	13.40	13.02	12.77	12.51	24.80	24.15	23.50	22.85	22.40	21.95		
2023-09-18T11:27:09	2023-06-02T16:30:24	EUR	P453.52	P453.529	Houten werp set, bruin			Screen Transfer OS,Digital Transfer OS,SilkScreen	1	1	25	50	100	250	500	12.85	12.51	12.17	11.83	11.60	11.37	22.55	21.95	21.35	20.75	20.35	19.95		
2023-09-18T11:27:09	2022-10-24T15:13:23	EUR	P453.53	P453.539	Houten croquet set, bruin			Screen Transfer OS,Digital Transfer OS	1	1	25	50	100	250	500	22.52	21.92	21.32	20.72	20.32	19.92	39.50	38.45	37.40	36.35	35.65	34.95		
2023-09-18T11:27:09	2022-10-24T15:14:21	EUR	P453.54	P453.549	Houten skittles set, bruin			Screen Transfer OS,Digital Transfer OS,SilkScreen	1	1	25	50	100	250	500	19.29	18.78	18.27	17.76	17.41	17.07	33.85	32.95	32.05	31.15	30.55	29.95		
2023-09-18T11:27:09	2022-10-24T15:19:51	EUR	P453.55	P453.559	Extra grote bamboe mikado set, bruin			Screen Transfer OS,Digital Transfer OS	1	1	100	250	500	1000	1500	6.40	6.23	6.06	5.89	5.78	5.67	11.23	10.93	10.64	10.34	10.14	9.94		
2023-09-18T11:27:09	2023-06-02T16:31:09	EUR	P453.77	P453.771	Cooling handdoek, zwart			SilkScreen Round,Screen Transfer OS,Embroidery	1	1	100	250	500	1000	1500	2.57	2.50	2.43	2.37	2.32	2.27	4.51	4.39	4.27	4.15	4.07	3.99		
2023-09-18T11:27:09	2023-06-02T16:31:09	EUR	P453.77	P453.773	Cooling handdoek, wit			SilkScreen Round,Screen Transfer OS,Embroidery	1	1	100	250	500	1000	1500	2.57	2.50	2.43	2.37	2.32	2.27	4.51	4.39	4.27	4.15	4.07	3.99		
2023-09-18T11:27:09	2023-06-02T16:31:09	EUR	P453.77	P453.775	Cooling handdoek, blauw			SilkScreen Round,Screen Transfer OS,Embroidery	1	1	100	250	500	1000	1500	2.57	2.50	2.43	2.37	2.32	2.27	4.51	4.39	4.27	4.15	4.07	3.99		
2023-09-18T11:27:09	2022-10-24T15:16:29	EUR	P453.79	P453.791	Ukiyo Yumiko AWARE™ Hamam Handdoek 100x180cm, zwart			Embroidery,Leather badge	1	1	25	50	100	250	500	14.14	13.77	13.40	13.02	12.77	12.51	24.80	24.15	23.50	22.85	22.40	21.95		
2023-09-18T11:27:09	2022-10-24T15:16:28	EUR	P453.79	P453.792	Ukiyo Yumiko AWARE™ Hamam Handdoek 100x180cm, grijs			Embroidery,Leather badge	1	1	25	50	100	250	500	14.14	13.77	13.40	13.02	12.77	12.51	24.80	24.15	23.50	22.85	22.40	21.95		
2023-09-18T11:27:09	2022-10-24T15:16:28	EUR	P453.79	P453.795	Ukiyo Yumiko AWARE™ Hamam Handdoek 100x180cm, donkerblauw			Embroidery,Leather badge	1	1	25	50	100	250	500	14.14	13.77	13.40	13.02	12.77	12.51	24.80	24.15	23.50	22.85	22.40	21.95		
2023-09-18T11:27:09	2022-10-24T15:16:28	EUR	P453.79	P453.797	Ukiyo Yumiko AWARE™ Hamam Handdoek 100x180cm, groen			Embroidery,Leather badge	1	1	25	50	100	250	500	14.14	13.77	13.40	13.02	12.77	12.51	24.80	24.15	23.50	22.85	22.40	21.95		
2023-09-18T11:27:09	2022-10-24T15:16:28	EUR	P453.79	P453.799	Ukiyo Yumiko AWARE™ Hamam Handdoek 100x180cm, roze			Embroidery,Leather badge	1	1	25	50	100	250	500	14.14	13.77	13.40	13.02	12.77	12.51	24.80	24.15	23.50	22.85	22.40	21.95		
2023-09-18T11:27:09	2022-10-24T15:15:31	EUR	P453.80	P453.801	Ukiyo Hisako AWARE™ 4 Seizoenen Deken/Handdoek 100x180, zwart			Embroidery,Leather badge	1	1	25	50	100	250	500	19.29	18.78	18.27	17.76	17.41	17.07	33.85	32.95	32.05	31.15	30.55	29.95		
2023-09-18T11:27:09	2022-10-24T15:15:30	EUR	P453.80	P453.802	Ukiyo Hisako AWARE™ 4 Seizoenen Deken/Handdoek 100x180, grijs			Embroidery,Leather badge	1	1	25	50	100	250	500	19.29	18.78	18.27	17.76	17.41	17.07	33.85	32.95	32.05	31.15	30.55	29.95		
2023-09-18T11:27:09	2022-10-24T15:15:30	EUR	P453.80	P453.805	Ukiyo Hisako AWARE™ 4 Seizoenen Deken/Handdoek 100x180, donkerblauw			Embroidery,Leather badge	1	1	25	50	100	250	500	19.29	18.78	18.27	17.76	17.41	17.07	33.85	32.95	32.05	31.15	30.55	29.95		
2023-09-18T11:27:09	2022-10-24T15:15:30	EUR	P453.80	P453.807	Ukiyo Hisako AWARE™ 4 Seizoenen Deken/Handdoek 100x180, groen			Embroidery,Leather badge	1	1	25	50	100	250	500	19.29	18.78	18.27	17.76	17.41	17.07	33.85	32.95	32.05	31.15	30.55	29.95		
2023-09-18T11:27:09	2022-10-24T15:15:30	EUR	P453.80	P453.809	Ukiyo Hisako AWARE™ 4 Seizoenen Deken/Handdoek 100x180, roze			Embroidery,Leather badge	1	1	25	50	100	250	500	19.29	18.78	18.27	17.76	17.41	17.07	33.85	32.95	32.05	31.15	30.55	29.95		
2023-09-18T11:27:09	2023-06-02T16:30:46	EUR	P453.81	P453.810	Ukiyo Sakura AWARE™ 500gram Handdoek 50 x 100cm, antraciet			Embroidery	1	1	100	250	500	1000	1500	5.76	5.61	5.46	5.31	5.20	5.10	10.11	9.85	9.58	9.31	9.13	8.95		
